,datetime,station,operation,num_bikes,is_weekend
117,2020-01-05 21:00:00,113,both,0.0,weekend
118,2020-01-05 22:00:00,113,both,0.0,weekend
119,2020-01-05 23:00:00,113,both,0.0,weekend
120,2020-01-06 00:00:00,113,both,3.0,weekend
121,2020-01-06 01:00:00,113,both,0.0,weekend
122,2020-01-06 02:00:00,113,both,0.0,weekend
123,2020-01-06 03:00:00,113,both,0.0,weekend
124,2020-01-06 04:00:00,113,both,0.0,weekend
125,2020-01-06 05:00:00,113,both,0.0,weekend
126,2020-01-06 06:00:00,113,both,0.0,weekend
127,2020-01-06 07:00:00,113,both,0.0,weekend
128,2020-01-06 08:00:00,113,both,0.0,weekend
129,2020-01-06 09:00:00,113,both,0.0,weekend
130,2020-01-06 10:00:00,113,both,0.0,weekend
131,2020-01-06 11:00:00,113,both,0.0,weekend
132,2020-01-06 12:00:00,113,both,0.0,weekend
133,2020-01-06 13:00:00,113,both,0.0,weekend
134,2020-01-06 14:00:00,113,both,0.0,weekend
135,2020-01-06 15:00:00,113,both,0.0,weekend
136,2020-01-06 16:00:00,113,both,0.0,weekend
137,2020-01-06 17:00:00,113,both,0.0,weekend
138,2020-01-06 18:00:00,113,both,0.0,weekend
139,2020-01-06 19:00:00,113,both,0.0,weekend
140,2020-01-06 20:00:00,113,both,0.0,weekend
141,2020-01-06 21:00:00,113,both,0.0,weekend
142,2020-01-06 22:00:00,113,both,0.0,weekend
143,2020-01-06 23:00:00,113,both,1.0,weekend
144,2020-01-07 00:00:00,113,both,1.0,weekday
145,2020-01-07 01:00:00,113,both,0.0,weekday
146,2020-01-07 02:00:00,113,both,0.0,weekday
147,2020-01-07 03:00:00,113,both,3.0,weekday
148,2020-01-07 04:00:00,113,both,0.0,weekday
149,2020-01-07 05:00:00,113,both,4.0,weekday
150,2020-01-07 06:00:00,113,both,6.0,weekday
151,2020-01-07 07:00:00,113,both,11.0,weekday
152,2020-01-07 08:00:00,113,both,7.0,weekday
153,2020-01-07 09:00:00,113,both,6.0,weekday
154,2020-01-07 10:00:00,113,both,8.0,weekday
155,2020-01-07 11:00:00,113,both,5.0,weekday
156,2020-01-07 12:00:00,113,both,7.0,weekday
157,2020-01-07 13:00:00,113,both,5.0,weekday
158,2020-01-07 14:00:00,113,both,6.0,weekday
159,2020-01-07 15:00:00,113,both,10.0,weekday
160,2020-01-07 16:00:00,113,both,9.0,weekday
161,2020-01-07 17:00:00,113,both,9.0,weekday
162,2020-01-07 18:00:00,113,both,20.0,weekday
163,2020-01-07 19:00:00,113,both,11.0,weekday
164,2020-01-07 20:00:00,113,both,18.0,weekday
165,2020-01-07 21:00:00,113,both,7.0,weekday
166,2020-01-07 22:00:00,113,both,6.0,weekday
167,2020-01-07 23:00:00,113,both,3.0,weekday
168,2020-01-08 00:00:00,113,both,2.0,weekday
169,2020-01-08 01:00:00,113,both,1.0,weekday
170,2020-01-08 02:00:00,113,both,1.0,weekday
171,2020-01-08 03:00:00,113,both,1.0,weekday
172,2020-01-08 04:00:00,113,both,1.0,weekday
173,2020-01-08 05:00:00,113,both,4.0,weekday
174,2020-01-08 06:00:00,113,both,7.0,weekday
175,2020-01-08 07:00:00,113,both,9.0,weekday
176,2020-01-08 08:00:00,113,both,6.0,weekday
177,2020-01-08 09:00:00,113,both,5.0,weekday
178,2020-01-08 10:00:00,113,both,4.0,weekday
179,2020-01-08 11:00:00,113,both,6.0,weekday
180,2020-01-08 12:00:00,113,both,3.0,weekday
181,2020-01-08 13:00:00,113,both,9.0,weekday
182,2020-01-08 14:00:00,113,both,10.0,weekday
183,2020-01-08 15:00:00,113,both,13.0,weekday
184,2020-01-08 16:00:00,113,both,9.0,weekday
185,2020-01-08 17:00:00,113,both,13.0,weekday
186,2020-01-08 18:00:00,113,both,21.0,weekday
187,2020-01-08 19:00:00,113,both,9.0,weekday
188,2020-01-08 20:00:00,113,both,2.0,weekday
189,2020-01-08 21:00:00,113,both,18.0,weekday
190,2020-01-08 22:00:00,113,both,2.0,weekday
191,2020-01-08 23:00:00,113,both,9.0,weekday
192,2020-01-09 00:00:00,113,both,6.0,weekday
193,2020-01-09 01:00:00,113,both,1.0,weekday
194,2020-01-09 02:00:00,113,both,1.0,weekday
195,2020-01-09 03:00:00,113,both,1.0,weekday
196,2020-01-09 04:00:00,113,both,1.0,weekday
197,2020-01-09 05:00:00,113,both,2.0,weekday
198,2020-01-09 06:00:00,113,both,9.0,weekday
199,2020-01-09 07:00:00,113,both,14.0,weekday
200,2020-01-09 08:00:00,113,both,2.0,weekday
201,2020-01-09 09:00:00,113,both,9.0,weekday
202,2020-01-09 10:00:00,113,both,14.0,weekday
203,2020-01-09 11:00:00,113,both,5.0,weekday
204,2020-01-09 12:00:00,113,both,7.0,weekday
205,2020-01-09 13:00:00,113,both,12.0,weekday
206,2020-01-09 14:00:00,113,both,5.0,weekday
207,2020-01-09 15:00:00,113,both,12.0,weekday
208,2020-01-09 16:00:00,113,both,5.0,weekday
209,2020-01-09 17:00:00,113,both,13.0,weekday
210,2020-01-09 18:00:00,113,both,17.0,weekday
211,2020-01-09 19:00:00,113,both,22.0,weekday
212,2020-01-09 20:00:00,113,both,7.0,weekday
213,2020-01-09 21:00:00,113,both,12.0,weekday
214,2020-01-09 22:00:00,113,both,15.0,weekday
215,2020-01-09 23:00:00,113,both,5.0,weekday
216,2020-01-10 00:00:00,113,both,4.0,weekday
217,2020-01-10 01:00:00,113,both,1.0,weekday
218,2020-01-10 02:00:00,113,both,1.0,weekday
219,2020-01-10 03:00:00,113,both,1.0,weekday
220,2020-01-10 04:00:00,113,both,0.0,weekday
221,2020-01-10 05:00:00,113,both,0.0,weekday
222,2020-01-10 06:00:00,113,both,2.0,weekday
223,2020-01-10 07:00:00,113,both,1.0,weekday
224,2020-01-10 08:00:00,113,both,0.0,weekday
225,2020-01-10 09:00:00,113,both,2.0,weekday
226,2020-01-10 10:00:00,113,both,3.0,weekday
227,2020-01-10 11:00:00,113,both,4.0,weekday
228,2020-01-10 12:00:00,113,both,2.0,weekday
229,2020-01-10 13:00:00,113,both,12.0,weekday
230,2020-01-10 14:00:00,113,both,13.0,weekday
231,2020-01-10 15:00:00,113,both,5.0,weekday
232,2020-01-10 16:00:00,113,both,23.0,weekday
233,2020-01-10 17:00:00,113,both,11.0,weekday
234,2020-01-10 18:00:00,113,both,9.0,weekday
235,2020-01-10 19:00:00,113,both,5.0,weekday
236,2020-01-10 20:00:00,113,both,7.0,weekday
237,2020-01-10 21:00:00,113,both,5.0,weekday
238,2020-01-10 22:00:00,113,both,8.0,weekday
239,2020-01-10 23:00:00,113,both,3.0,weekday
240,2020-01-11 00:00:00,113,both,5.0,weekday
241,2020-01-11 01:00:00,113,both,3.0,weekday
242,2020-01-11 02:00:00,113,both,4.0,weekday
243,2020-01-11 03:00:00,113,both,2.0,weekday
244,2020-01-11 04:00:00,113,both,2.0,weekday
245,2020-01-11 05:00:00,113,both,2.0,weekday
246,2020-01-11 06:00:00,113,both,2.0,weekday
247,2020-01-11 07:00:00,113,both,3.0,weekday
248,2020-01-11 08:00:00,113,both,5.0,weekday
249,2020-01-11 09:00:00,113,both,7.0,weekday
250,2020-01-11 10:00:00,113,both,10.0,weekday
251,2020-01-11 11:00:00,113,both,5.0,weekday
252,2020-01-11 12:00:00,113,both,9.0,weekday
253,2020-01-11 13:00:00,113,both,12.0,weekday
254,2020-01-11 14:00:00,113,both,6.0,weekday
255,2020-01-11 15:00:00,113,both,6.0,weekday
256,2020-01-11 16:00:00,113,both,12.0,weekday
257,2020-01-11 17:00:00,113,both,9.0,weekday
258,2020-01-11 18:00:00,113,both,17.0,weekday
259,2020-01-11 19:00:00,113,both,4.0,weekday
260,2020-01-11 20:00:00,113,both,29.0,weekday
261,2020-01-11 21:00:00,113,both,9.0,weekday
262,2020-01-11 22:00:00,113,both,7.0,weekday
263,2020-01-11 23:00:00,113,both,6.0,weekday
264,2020-01-12 00:00:00,113,both,6.0,weekend
265,2020-01-12 01:00:00,113,both,4.0,weekend
266,2020-01-12 02:00:00,113,both,4.0,weekend
267,2020-01-12 03:00:00,113,both,2.0,weekend
268,2020-01-12 04:00:00,113,both,0.0,weekend
269,2020-01-12 05:00:00,113,both,1.0,weekend
270,2020-01-12 06:00:00,113,both,1.0,weekend
271,2020-01-12 07:00:00,113,both,3.0,weekend
272,2020-01-12 08:00:00,113,both,4.0,weekend
273,2020-01-12 09:00:00,113,both,6.0,weekend
274,2020-01-12 10:00:00,113,both,8.0,weekend
275,2020-01-12 11:00:00,113,both,5.0,weekend
276,2020-01-12 12:00:00,113,both,6.0,weekend
277,2020-01-12 13:00:00,113,both,9.0,weekend
278,2020-01-12 14:00:00,113,both,8.0,weekend
279,2020-01-12 15:00:00,113,both,5.0,weekend
280,2020-01-12 16:00:00,113,both,6.0,weekend
281,2020-01-12 17:00:00,113,both,12.0,weekend
282,2020-01-12 18:00:00,113,both,7.0,weekend
283,2020-01-12 19:00:00,113,both,5.0,weekend
284,2020-01-12 20:00:00,113,both,3.0,weekend
285,2020-01-12 21:00:00,113,both,2.0,weekend
286,2020-01-12 22:00:00,113,both,6.0,weekend
287,2020-01-12 23:00:00,113,both,24.0,weekend
288,2020-01-13 00:00:00,113,both,1.0,weekend
289,2020-01-13 01:00:00,113,both,0.0,weekend
290,2020-01-13 02:00:00,113,both,0.0,weekend
291,2020-01-13 03:00:00,113,both,1.0,weekend
292,2020-01-13 04:00:00,113,both,1.0,weekend
293,2020-01-13 05:00:00,113,both,2.0,weekend
294,2020-01-13 06:00:00,113,both,5.0,weekend
295,2020-01-13 07:00:00,113,both,2.0,weekend
296,2020-01-13 08:00:00,113,both,5.0,weekend
297,2020-01-13 09:00:00,113,both,4.0,weekend
298,2020-01-13 10:00:00,113,both,3.0,weekend
299,2020-01-13 11:00:00,113,both,5.0,weekend
300,2020-01-13 12:00:00,113,both,6.0,weekend
301,2020-01-13 13:00:00,113,both,8.0,weekend
302,2020-01-13 14:00:00,113,both,9.0,weekend
303,2020-01-13 15:00:00,113,both,6.0,weekend
304,2020-01-13 16:00:00,113,both,4.0,weekend
305,2020-01-13 17:00:00,113,both,18.0,weekend
306,2020-01-13 18:00:00,113,both,13.0,weekend
307,2020-01-13 19:00:00,113,both,14.0,weekend
308,2020-01-13 20:00:00,113,both,11.0,weekend
309,2020-01-13 21:00:00,113,both,4.0,weekend
310,2020-01-13 22:00:00,113,both,0.0,weekend
311,2020-01-13 23:00:00,113,both,4.0,weekend
312,2020-01-14 00:00:00,113,both,0.0,weekday
313,2020-01-14 01:00:00,113,both,0.0,weekday
314,2020-01-14 02:00:00,113,both,0.0,weekday
315,2020-01-14 03:00:00,113,both,1.0,weekday
