station_id,num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,is_installed,is_renting,is_returning,last_reported,is_charging_station,status,last_updated
113,23,23,0,4,1,1,1,1577839597,TRUE,IN_SERVICE,1577839802
329,0,0,0,27,1,1,1,1577839568,TRUE,IN_SERVICE,1577839802
101,3,1,2,21,1,1,1,1577839895,TRUE,IN_SERVICE,1577840096
113,23,23,0,4,1,1,1,1577839858,TRUE,IN_SERVICE,1577840096
329,0,0,0,27,1,1,1,1577840094,TRUE,IN_SERVICE,1577840096
101,3,1,2,21,1,1,1,1577840417,TRUE,IN_SERVICE,1577840425
113,24,24,0,2,1,1,1,1577840383,TRUE,IN_SERVICE,1577840425
329,0,0,0,27,1,1,1,1577840360,TRUE,IN_SERVICE,1577840425
101,3,1,2,21,1,1,1,1577840680,TRUE,IN_SERVICE,1577840711
113,24,24,0,2,1,1,1,1577840645,TRUE,IN_SERVICE,1577840711
329,0,0,0,27,1,1,1,1577840626,TRUE,IN_SERVICE,1577840711
101,3,1,2,21,1,1,1,1577840943,TRUE,IN_SERVICE,1577840997
113,24,24,0,2,1,1,1,1577840909,TRUE,IN_SERVICE,1577840997
329,0,0,0,27,1,1,1,1577840888,TRUE,IN_SERVICE,1577840997
101,3,1,2,21,1,1,1,1577841204,TRUE,IN_SERVICE,1577841297
113,25,25,0,1,1,1,1,1577841172,TRUE,IN_SERVICE,1577841297
329,0,0,0,27,1,1,1,1577841152,TRUE,IN_SERVICE,1577841297
101,3,1,2,21,1,1,1,1577841466,TRUE,IN_SERVICE,1577841610
113,25,25,0,1,1,1,1,1577841433,TRUE,IN_SERVICE,1577841610
329,0,0,0,27,1,1,1,1577841415,TRUE,IN_SERVICE,1577841610
101,2,1,1,22,1,1,1,1577841726,TRUE,IN_SERVICE,1577841906
113,25,25,0,1,1,1,1,1577841693,TRUE,IN_SERVICE,1577841906
329,0,0,0,27,1,1,1,1577841680,TRUE,IN_SERVICE,1577841906
101,2,1,1,22,1,1,1,1577841989,TRUE,IN_SERVICE,1577842225
113,25,25,0,1,1,1,1,1577842214,TRUE,IN_SERVICE,1577842225
329,0,0,0,27,1,1,1,1577842213,TRUE,IN_SERVICE,1577842225
101,2,1,1,22,1,1,1,1577842508,TRUE,IN_SERVICE,1577842521
113,25,25,0,1,1,1,1,1577842476,TRUE,IN_SERVICE,1577842521
329,0,0,0,27,1,1,1,1577842475,TRUE,IN_SERVICE,1577842521
101,1,0,1,23,1,1,1,1577842770,TRUE,IN_SERVICE,1577842805
113,25,25,0,1,1,1,1,1577842737,TRUE,IN_SERVICE,1577842805
329,0,0,0,27,1,1,1,1577842738,TRUE,IN_SERVICE,1577842805
101,1,0,1,23,1,1,1,1577843031,TRUE,IN_SERVICE,1577843126
113,25,25,0,1,1,1,1,1577842999,TRUE,IN_SERVICE,1577843126
329,0,0,0,27,1,1,1,1577842998,TRUE,IN_SERVICE,1577843126
101,1,0,1,23,1,1,1,1577843289,TRUE,IN_SERVICE,1577843426
113,25,25,0,1,1,1,1,1577843259,TRUE,IN_SERVICE,1577843426
329,0,0,0,27,1,1,1,1577843262,TRUE,IN_SERVICE,1577843426
101,1,0,1,23,1,1,1,1577843551,TRUE,IN_SERVICE,1577843725
113,25,25,0,1,1,1,1,1577843523,TRUE,IN_SERVICE,1577843725
329,0,0,0,27,1,1,1,1577843520,TRUE,IN_SERVICE,1577843725
101,1,0,1,23,1,1,1,1577843813,TRUE,IN_SERVICE,1577843999
113,23,23,0,3,1,1,1,1577843784,TRUE,IN_SERVICE,1577843999
329,0,0,0,27,1,1,1,1577843783,TRUE,IN_SERVICE,1577843999
101,1,0,1,23,1,1,1,1577844072,TRUE,IN_SERVICE,1577844315
113,22,22,0,4,1,1,1,1577844310,TRUE,IN_SERVICE,1577844315
329,0,0,0,27,1,1,1,1577844311,TRUE,IN_SERVICE,1577844315
