,datetime,station,mech_drops,elec_drops,elec_picks,mech_picks,mech,elec
8989,2020-01-01T13:00:00,391,2.548387096774193,0.967741935483871,0.5806451612903226,1.6451612903225807,4.193548387096774,1.5483870967741935
8990,2020-01-01T14:00:00,391,2.1935483870967745,0.6451612903225806,0.6129032258064516,1.2580645161290325,3.451612903225807,1.2580645161290323
8991,2020-01-01T15:00:00,391,2.0,0.5483870967741935,0.3548387096774194,1.8387096774193548,3.838709677419355,0.9032258064516129
8992,2020-01-01T16:00:00,391,2.3225806451612905,0.8387096774193549,0.4516129032258064,1.8064516129032255,4.129032258064516,1.2903225806451613
8993,2020-01-01T17:00:00,391,3.5161290322580645,0.5161290322580645,1.1935483870967742,2.096774193548387,5.612903225806452,1.7096774193548387
8994,2020-01-01T18:00:00,391,2.5806451612903225,0.4838709677419355,0.4838709677419355,1.7096774193548387,4.290322580645161,0.967741935483871
8995,2020-01-01T19:00:00,391,2.419354838709677,0.7741935483870968,0.7096774193548387,1.3870967741935485,3.8064516129032255,1.4838709677419355
8996,2020-01-01T20:00:00,391,2.0,0.5161290322580645,0.6129032258064516,1.4838709677419355,3.4838709677419355,1.129032258064516
8997,2020-01-01T21:00:00,391,1.3548387096774193,0.2258064516129032,0.1935483870967742,1.3870967741935485,2.741935483870968,0.4193548387096774
8998,2020-01-01T22:00:00,391,1.0,0.25806451612903225,0.1935483870967742,0.9032258064516128,1.9032258064516128,0.45161290322580644
8999,2020-01-01T23:00:00,391,0.7741935483870968,0.16129032258064516,0.12903225806451613,0.3225806451612903,1.096774193548387,0.29032258064516125
9000,2020-01-01T00:00:00,392,0.935483870967742,0.0967741935483871,0.03225806451612903,0.3870967741935484,1.3225806451612905,0.12903225806451613
9001,2020-01-01T01:00:00,392,0.8709677419354839,0.0967741935483871,0.06451612903225806,0.03225806451612903,0.9032258064516129,0.16129032258064516
9002,2020-01-01T02:00:00,392,0.9032258064516128,0.0,0.0967741935483871,0.1935483870967742,1.096774193548387,0.0967741935483871
9003,2020-01-01T03:00:00,392,0.5806451612903226,0.06451612903225806,0.06451612903225806,0.2258064516129032,0.8064516129032258,0.12903225806451613
9004,2020-01-01T04:00:00,392,0.41935483870967744,0.03225806451612903,0.03225806451612903,0.0967741935483871,0.5161290322580645,0.06451612903225806
9005,2020-01-01T05:00:00,392,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.7419354838709677,0.8064516129032258,0.06451612903225806
9006,2020-01-01T06:00:00,392,0.6129032258064516,0.12903225806451613,0.0967741935483871,2.548387096774193,3.1612903225806446,0.22580645161290322
9007,2020-01-01T07:00:00,392,6.0,0.6451612903225806,0.4838709677419355,2.4516129032258065,8.451612903225806,1.129032258064516
9008,2020-01-01T08:00:00,392,3.193548387096774,0.4516129032258064,0.1935483870967742,1.1935483870967742,4.387096774193548,0.6451612903225805
9009,2020-01-01T09:00:00,392,2.967741935483871,0.5806451612903226,0.2903225806451613,2.290322580645161,5.258064516129032,0.870967741935484
9010,2020-01-01T10:00:00,392,1.6774193548387095,0.4516129032258064,0.7419354838709677,1.5483870967741935,3.225806451612903,1.193548387096774
9011,2020-01-01T11:00:00,392,2.4838709677419355,0.6129032258064516,0.7741935483870968,3.193548387096774,5.67741935483871,1.3870967741935485
9012,2020-01-01T12:00:00,392,2.3225806451612905,0.41935483870967744,0.4838709677419355,2.6451612903225805,4.967741935483871,0.903225806451613
9013,2020-01-01T13:00:00,392,4.032258064516129,0.8064516129032258,0.7741935483870968,3.193548387096774,7.225806451612903,1.5806451612903225
9014,2020-01-01T14:00:00,392,3.129032258064516,0.3548387096774194,0.3870967741935484,2.1935483870967745,5.32258064516129,0.7419354838709677
9015,2020-01-01T15:00:00,392,2.5806451612903225,0.7096774193548387,0.5161290322580645,3.4838709677419355,6.064516129032258,1.2258064516129032
9016,2020-01-01T16:00:00,392,2.1935483870967745,0.5806451612903226,0.7741935483870968,4.612903225806452,6.806451612903226,1.3548387096774195
9017,2020-01-01T17:00:00,392,3.0645161290322585,0.4838709677419355,0.6451612903225806,4.870967741935483,7.935483870967742,1.129032258064516
9018,2020-01-01T18:00:00,392,2.0,0.25806451612903225,0.25806451612903225,3.5161290322580645,5.516129032258064,0.5161290322580645
9019,2020-01-01T19:00:00,392,1.7096774193548387,0.12903225806451613,0.1935483870967742,3.5161290322580645,5.225806451612903,0.3225806451612903
9020,2020-01-01T20:00:00,392,3.0,0.1935483870967742,0.1935483870967742,2.5806451612903225,5.580645161290322,0.3870967741935484
9021,2020-01-01T21:00:00,392,1.8064516129032255,0.2258064516129032,0.25806451612903225,1.4193548387096775,3.225806451612903,0.48387096774193544
9022,2020-01-01T22:00:00,392,1.2258064516129032,0.06451612903225806,0.16129032258064516,2.129032258064516,3.354838709677419,0.22580645161290322
9023,2020-01-01T23:00:00,392,0.8387096774193549,0.03225806451612903,0.0967741935483871,0.9032258064516128,1.7419354838709675,0.12903225806451613
9024,2020-01-01T00:00:00,393,0.41935483870967744,0.06451612903225806,0.06451612903225806,0.12903225806451613,0.5483870967741935,0.12903225806451613
9025,2020-01-01T01:00:00,393,0.25806451612903225,0.06451612903225806,0.03225806451612903,0.0967741935483871,0.3548387096774194,0.0967741935483871
