,datetime,113,101,329
103,2020-01-05T07:00:00,0.0,0.0,0.0
104,2020-01-05T08:00:00,1.0,1.0,0.0
105,2020-01-05T09:00:00,3.0,2.0,0.0
106,2020-01-05T10:00:00,2.0,2.0,0.0
107,2020-01-05T11:00:00,6.0,6.0,0.0
108,2020-01-05T12:00:00,3.0,6.0,0.0
109,2020-01-05T13:00:00,3.0,3.0,0.0
110,2020-01-05T14:00:00,2.0,0.0,2.0
111,2020-01-05T15:00:00,1.0,2.0,1.0
112,2020-01-05T16:00:00,1.0,2.0,0.0
113,2020-01-05T17:00:00,2.0,1.0,0.0
114,2020-01-05T18:00:00,0.0,2.0,0.0
115,2020-01-05T19:00:00,0.0,2.0,0.0
116,2020-01-05T20:00:00,3.0,0.0,0.0
117,2020-01-05T21:00:00,0.0,2.0,3.0
118,2020-01-05T22:00:00,0.0,1.0,0.0
119,2020-01-05T23:00:00,0.0,6.0,0.0
120,2020-01-06T00:00:00,29.0,0.0,0.0
121,2020-01-06T01:00:00,0.0,0.0,0.0
122,2020-01-06T02:00:00,0.0,0.0,0.0
123,2020-01-06T03:00:00,0.0,0.0,0.0
124,2020-01-06T04:00:00,0.0,2.0,0.0
125,2020-01-06T05:00:00,0.0,0.0,0.0
126,2020-01-06T06:00:00,0.0,0.0,0.0
127,2020-01-06T07:00:00,0.0,0.0,0.0
128,2020-01-06T08:00:00,0.0,1.0,0.0
129,2020-01-06T09:00:00,0.0,2.0,1.0
130,2020-01-06T10:00:00,0.0,5.0,0.0
131,2020-01-06T11:00:00,0.0,0.0,0.0
132,2020-01-06T12:00:00,0.0,2.0,0.0
133,2020-01-06T13:00:00,0.0,4.0,0.0
134,2020-01-06T14:00:00,0.0,2.0,0.0
135,2020-01-06T15:00:00,0.0,5.0,1.0
136,2020-01-06T16:00:00,0.0,2.0,1.0
137,2020-01-06T17:00:00,0.0,3.0,2.0
138,2020-01-06T18:00:00,0.0,2.0,0.0
139,2020-01-06T19:00:00,0.0,2.0,0.0
140,2020-01-06T20:00:00,0.0,0.0,0.0
141,2020-01-06T21:00:00,0.0,2.0,0.0
142,2020-01-06T22:00:00,0.0,1.0,1.0
143,2020-01-06T23:00:00,0.0,3.0,0.0
144,2020-01-07T00:00:00,1.0,0.0,0.0
145,2020-01-07T01:00:00,0.0,1.0,0.0
146,2020-01-07T02:00:00,0.0,0.0,0.0
147,2020-01-07T03:00:00,2.0,0.0,0.0
148,2020-01-07T04:00:00,0.0,0.0,0.0
149,2020-01-07T05:00:00,4.0,0.0,0.0
150,2020-01-07T06:00:00,6.0,4.0,0.0
151,2020-01-07T07:00:00,10.0,3.0,2.0
